suite,experiment,primitive,threads,cs_cycles,trial,ops_per_sec,mean_latency_ns,p50_ns,p95_ns,p99_ns,stddev_ns,cv_percent,throughput_ops,false_sharing_factor,fairness_gini,fairness_jain,fairness_maxmin,fairness_cv,cpu_migrations,ctx_switches,notes
throughput,throughput_saturation,semaphore,2,0,4,9094308.20,168.64,0.00,331.00,400.00,583.77,346.17,45471541,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,5,7577706.20,206.42,0.00,401.00,581.00,508.31,246.25,37888531,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,6,9034778.00,165.98,0.00,340.00,410.00,185.62,111.83,45173890,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,0,7,7545754.60,207.44,0.00,470.00,591.00,152.57,73.55,37728773,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,0,7236914.40,356.93,0.00,1192.00,2885.00,541.07,151.59,36184572,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,1,7208245.80,366.87,0.00,1263.00,2945.00,766.29,208.87,36041229,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,2,7066821.40,369.48,0.00,1232.00,2986.00,690.02,186.75,35334107,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,3,7236859.40,358.91,0.00,1192.00,2965.01,557.07,155.21,36184297,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,4,7213167.80,368.16,0.00,1282.05,2976.00,589.36,160.08,36065839,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,5,7207474.00,368.48,0.00,1263.00,2935.00,829.07,225.00,36037370,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,6,7186293.60,366.76,0.00,1242.00,2906.00,684.88,186.74,35931468,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,3,0,7,7215823.00,361.05,0.00,1193.00,2906.09,751.39,208.11,36079115,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,0,6357480.60,575.06,0.00,2394.00,4298.00,991.42,172.40,31787403,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,1,6402364.80,572.58,0.00,2394.00,4258.00,933.66,163.06,32011824,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,2,6352325.40,569.90,0.00,2375.00,4188.00,920.42,161.51,31761627,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,3,6252936.00,589.17,0.00,2444.00,4298.00,964.55,163.71,31264680,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,4,6377267.00,571.82,0.00,2384.00,4228.00,989.47,173.04,31886335,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,5,6345824.20,573.76,0.00,2395.00,4308.00,950.20,165.61,31729121,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,6,6366217.40,575.15,0.00,2404.00,4228.00,1040.04,180.83,31831087,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,4,0,7,6318900.60,573.43,0.00,2404.00,4248.00,955.39,166.61,31594503,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,0,4581144.80,1679.18,0.00,5190.00,8436.00,2016.24,120.07,22905724,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,1,4581859.40,1677.62,0.00,5160.00,8436.00,2004.89,119.51,22909297,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,2,4550552.20,1689.35,0.00,5210.00,8455.01,2259.73,133.76,22752761,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,3,4517598.00,1699.41,0.00,5250.00,8556.00,2070.16,121.82,22587990,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,4,4546268.00,1680.78,0.00,5199.00,8436.00,1997.46,118.84,22731340,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,5,4580413.20,1677.14,0.00,5170.00,8476.00,2017.60,120.30,22902066,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,6,4540205.20,1694.68,0.00,5210.00,8526.00,1937.94,114.35,22701026,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,8,0,7,4548230.00,1693.39,0.00,5220.00,8556.00,2106.76,124.41,22741150,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,0,4595581.60,3726.39,0.00,12113.45,38633.00,9515.56,255.36,22977908,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,1,4635071.20,3694.96,0.00,12003.00,38393.00,8748.34,236.76,23175356,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,2,4626866.40,3705.43,0.00,12213.00,37851.00,9343.12,252.15,23134332,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,3,4632610.80,3705.81,0.00,12083.00,38112.00,10497.12,283.26,23163054,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,4,4496035.40,3719.19,0.00,12193.00,37370.00,15282.45,410.91,22480177,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,5,4668203.40,3689.19,0.00,11773.00,37941.10,12317.59,333.88,23341017,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,6,4658837.00,3668.15,0.00,11812.00,38151.00,8845.84,241.15,23294185,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,16,0,7,4658444.20,3656.06,0.00,11732.00,37801.10,10765.43,294.45,23292221,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,0,2064569.80,443.29,0.00,441.00,561.00,1056.07,238.24,10322849,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,1,2071242.60,438.73,0.00,440.00,441.00,779.73,177.72,10356213,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,2,2059579.80,443.92,0.00,441.00,561.00,997.14,224.62,10297899,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,3,2060503.80,447.42,0.00,441.00,561.00,1317.79,294.53,10302519,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,4,2065567.20,434.66,0.00,441.00,551.10,54.68,12.58,10327836,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,5,2061681.20,440.45,0.00,441.00,561.00,851.45,193.31,10308406,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,6,2059317.20,435.94,0.00,440.00,451.00,553.46,126.96,10296586,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,1,500,7,2059423.40,436.36,0.00,441.00,571.00,115.91,26.56,10297117,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,0,1203010.80,1907.35,0.00,7224.00,18465.00,6707.64,351.67,6015054,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,1,1284648.60,2122.53,0.00,8897.00,25739.30,5051.57,238.00,6423243,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,2,1271889.20,2024.25,0.00,8356.00,24225.00,4700.50,232.21,6359446,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,3,1283014.40,2029.42,0.00,7935.00,24326.29,4807.06,236.87,6415072,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,4,1274722.00,1971.32,0.00,7795.00,22753.10,4616.11,234.16,6373610,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,5,1247975.60,1917.65,0.00,7363.00,21079.91,4758.48,248.14,6239878,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,6,1267081.40,2052.90,0.00,8646.05,23885.00,4844.96,236.01,6335407,0.00,0.00,0.00,0.00,0.00,-1,-1,""
throughput,throughput_saturation,semaphore,2,500,7,1265390.60,2030.44,0.00,8717.45,22964.09,4608.96,226.99,6326953,0.00,0.00,0.00,0.00,0.00,-1,-1,""
